"№ 
п/п","Код материалов","Наименование и 
спецификация","Версия","Кол-
во","Примечание"
"79","02571600301811011","Цепь выдвижной стрелы","А","2",""
"80","1040501496","Шплинт","А","8","JB/T91-2000"
"81","02571800302011030","Осеп цепи пластины","А","4",""
"82","02571600301821011","Цепь втягивающей стрелы","А","2",""
"83","1040501496","Шплинт","А","8","JB/T91-2000"
"84","02571800302011030","Осеп цепи пластины","А","4",""
"85","1040002433","Болт","А","2","JB/T5783-2000"
"86","1040302489","Шайба","B","2","GB/T97.1-2002"
"87","00771600301001250","Стопорный штифт","C","2",""
"88","02571800302201041","Штифт шкива I","А","1",""
"89","02571800301801061","Износостойкая прокладка I","А","4",""
"90","02571800301801040","Подшипник шкива I","А","4",""
"91","02571800301801030","Шкив цепи II","B","1",""
