"Item","Part No.","Description","Qty."
"1","00002168","ECU harness","1"
"2","00003378","Lowering valve","1"
"3","00002174","Limit switch harness","1"
"4","00002179","Angle & pressure sensors harness","1"
"5","00002178","Platform control box harness","1"
"6","00002169","Ground control panel harness","1"
"7","00002171","Pump motor positive harness","1"
"8","00002172","Pump motor negative harness","1"
"9","00002170","Motor controller harness","1"
"8","00002167","Battery positive harness","1"
"11","00002165","Battery negative harness","1"
"12","00002163","Battery harness 1","2"
"13","00002164","Battery harness 2","1"
"14","","Controller (refer to 105.1)","1"
"15","","Coil (refer to 401.1, 402.1)","2"
"16","","Beacon (refer to 113.1)","1"
"17","","Tilt sensor (refer to 113.1)","1"
"18","","Limitl switch, pothole (refer to 103.1)","2"
"19","","Limit switch, lift up/down (refer to 113.1)","2"
"20","","Pressure sensor (refer to 401.1)","1"
"21","","Angle sensor (refer to 201.1, 202.1, 203.1, 204.1)","1"
"22","","Platform control box assembly (refer to 306.1)","1"
"23","","Function manifold (refer to 403.1)","1"
"24","","Horn (refer to 105.1)","1"
"25","","Hour meter (refer to 105.1)","1"
"26","","Ground control assembly (refer to 113.1)","1"
"27","","Alarm (refer to 105.1)","1"
"28","","Motor (refer to 107.1)","1"
"29","","Motor controller (refer to 105.1)","1"
