"Item","Part No.","Description","Qty."
"16","09430003","Decal, Danger-Keep away from moving parts 
(JCPT0808HD/DC, JCPT1008HD/DC, JCPT1012HD/DC, 
JCPT1212HD/DC)","3"
"","09430003","Decal, Danger-Keep away from moving parts 
(JCPT1412HD/DC, JCPT1612HD/DC)","5"
"17","09430001","Decal, Danger-Safety arm (JCPT0808HD/DC, 
JCPT1008HD/DC, JCPT1012HD/DC, JCPT1212HD/DC)","2"
"","09430001","Decal, Danger-Safety arm (JCPT1412HD/DC, 
JCPT1612HD/DC)","4"
"18","09440021","Decal, Caution-Max. manual force 126 lbs 
(JCPT0808HD/DC)","2"
"","09440019","Decal, Caution-Max. manual force 100 lbs 
(JCPT1008HD/DC, JCPT1412HD/DC, JCPT1614HD/DC)","2"
"","09440023","Decal, Caution-Max. manual force 150 lbs 
(JCPT1012HD/DC)","2"
"","09440025","Decal, Caution-Max. manual force 105lbs 
(JCPT1212HD/DC)","2"
"19","09640001","Decal, Cosmetic-JCPT0808 (JCPT0808HD/DC）","2"
"","09640002","Decal, Cosmetic-JCPT1008 (JCPT1008HD/DC）","2"
"","09640003","Decal, Cosmetic-JCPT1012 (JCPT1012HD/DC）","2"
"","09640004","Decal, Cosmetic-JCPT1212 (JCPT1212HD/DC）","2"
"","09640005","Decal, Cosmetic-JCPT1412 (JCPT1412HD/DC)","2"
"","09640007","Decal, Cosmetic-JCPT1614 (JCPT1614HD/DC)","2"
"20","09410005","Decal, Danger-Do not alter or disable limit switch","1"
"21","09310004","Decal, Instructions-Emergency lower","1"
"22","09410013","Decal, Warning-Inspected and operation properly","1"
